,1E-04,,1E-05,,1E-06,,1E-07,,1E-08,,1E-09
1,262,1.19E-06,339,7.55E-07,492,5.04E-09,732,2.10E-11,794,1.00E-12,986,2.48E-16
2,242,2.39E-05,262,1.19E-06,358,5.91E-07,446,2.01E-08,492,5.04E-09,616,2.03E-10
