,1E+03,,1E+02,,1E+01,,1E+00,,1E-01,,1E-02,,1E-03
left,70,1.45E+00,91,1.56E+00,117,1.23E+00,118,1.50E-01,206,3.78E-02,376,4.39E-04,508,5.40E-05
right,64,1.43E+00,87,1.35E+00,60,2.35E+00,101,4.04E-01,205,7.35E-01,449,9.78E-03,762,8.83E-03
sym,228,4.69E-09,276,6.21E-10,308,1.68E-07,217,3.47E-09,339,7.55E-07,1427,4.32E-05,2566,2.64E-06
