R	x0	x*	f(x*)	calls
1	(-1.200000; 0.000000)	(0.968466; 0.964685)	0.302711	125
10	(0.968466; 0.964685)	(0.832282; 0.825211)	0.420256	58
100	(0.832282; 0.825211)	(0.815515; 0.814586)	0.429830	140
1000	(0.815515; 0.814586)	(0.814438; 0.813965)	0.430777	69
10000	(0.814438; 0.813965)	(0.814364; 0.813923)	0.430861	27
