R	x0	x*	f(x*)	calls
1	(2.000000; 1.000000)	(1.000441; 1.000756)	0.221422	122
10	(1.000441; 1.000756)	(0.832218; 0.825001)	0.420257	76
100	(0.832218; 0.825001)	(0.815580; 0.814481)	0.429760	140
1000	(0.815580; 0.814481)	(0.814306; 0.813746)	0.430932	46
10000	(0.814306; 0.813746)	(0.814232; 0.813704)	0.431016	27
