	1.00E+00		1.00E-01		1.00E-02		1.00E-03		1.00E-04		1.00E-05
left	60017	4.65E-01	60284	1.88E-01	60165	2.98E-01	60099	3.15E-01	60067	5.22E-01	60166	4.60E-01
right	60015	7.11E-01	60086	5.23E-01	60099	6.82E-01	60237	3.74E-01	60253	3.23E-01	60231	4.58E-01
sym	85020	4.21E-01	1362	1.32E-14	80200	4.71E-01	80215	1.69E-01	80211	4.64E-01	80140	6.19E-01
