	1.00E+00		1.00E-01		1.00E-02		1.00E-03
golden_section	90016	2.01E-01	90035	1.40E-01	603	1.57E-15	657	6.28E-16
dsk_powell	1426	2.77E-14	1362	1.32E-14	409	7.85E-16	488	8.01E-16
