R	x0	x*	f(x*)	calls
1	(1.250000; 0.800000)	(0.997709; 0.997045)	0.236828	115
10	(0.997709; 0.997045)	(0.832218; 0.825012)	0.420257	75
100	(0.832218; 0.825012)	(0.815576; 0.814488)	0.429764	140
1000	(0.815576; 0.814488)	(0.814301; 0.813753)	0.430937	46
10000	(0.814301; 0.813753)	(0.814228; 0.813711)	0.431022	27
