	1.00E+00		1.00E-01		1.00E-02		1.00E-03		1.00E-04
golden_section	33	2.17E+00	33	2.17E+00	92	9.56E+27	279248	4.19E-04	623	4.19E-04
dsk_powell	185	9.33E-04	172	1.07E-03	176	9.31E-04	237	1.12E-03	1685	4.19E-04
