	1.00E-01		1.00E-02		1.00E-03		1.00E-04		1.00E-05
golden_section	90047	7.42E+01	7778	1.44E-02	17610	5.06E-02	32651	5.35E-02	39447	5.34E-02
dsk_powell	1078	1.30E-03	2148	1.48E-03	11089	9.02E-03	17154	5.35E-02	15941	5.38E-02
