	1.00E+03		1.00E+02		1.00E+01		1.00E+00		1.00E-01		1.00E-02		1.00E-03
left	41	1.90E+00	48	1.87E+00	83	1.38E+00	132	2.57E-01	227	2.18E-01	307	7.00E-02	395	1.84E-02
right	41	1.90E+00	53	1.92E+00	79	2.09E+00	113	6.61E-01	235	3.18E-01	343	4.83E-02	422	1.53E-02
sym	435	2.46E-07	352	1.94E-07	316	3.62E-08	220	2.65E-08	252	1.83E-08	430	1.49E-08	939	7.30E-07
