	1.00E-01		1.00E-02		1.00E-03		1.00E-04		1.00E-05		1.00E-06
golden_section	414	1.87E-08	391	0.00E+00	351	3.49E-08	409	2.11E-08	461	3.33E-08	523	2.98E-08
dsk_powell	266	2.79E-08	259	9.91E-08	257	3.16E-08	261	4.47E-08	220	2.65E-08	261	2.98E-08
